#Selection name: Selection 2
#Area (µm^2): 543278.19
Cell ID,Cluster,Transcripts,Area (µm^2)
cdpbpihp-1,Cluster 14,0,90.80
cdpaejgm-1,Cluster 14,0,63.24
cdojhdoh-1,Cluster 21,0,42.31
cdnimpik-1,Cluster 6,0,92.92
cdnheifn-1,Cluster 1,0,61.99
ccnhkcbk-1,Cluster 6,0,58.32
cdnifkbp-1,Cluster 1,0,72.65
cdnccocj-1,Cluster 18,0,100.77
cdnhcgoe-1,Cluster 12,0,36.74
cdpeaiki-1,Cluster 1,0,49.62
cdnhmlpb-1,Cluster 6,0,107.88
npaoicog-1,Cluster 8,0,5.87
cdpdplca-1,Cluster 1,0,35.12
cdndegnf-1,Cluster 21,0,121.94
cdpkdjbh-1,Cluster 14,0,108.41
npbaclpn-1,Cluster 1,0,164.47
cdpjdmfn-1,Cluster 3,0,57.38
cdngiidh-1,Cluster 18,0,230.38
cgnbibpj-1,Cluster 15,0,23.84
cgnbfcef-1,Cluster 1,0,47.91
chfkjhlj-1,Cluster 1,0,54.45
cgmnompf-1,Cluster 1,0,89.99
chciilek-1,Cluster 5,0,100.35
chclimco-1,Cluster 1,0,41.51
cdobhcna-1,Cluster 1,0,48.63
chehoppp-1,Cluster 1,0,52.93
chckbnlf-1,Cluster 1,0,45.82
chcioibo-1,Cluster 1,0,76.58
chebckig-1,Cluster 1,0,66.55
cheegcpo-1,Cluster 5,0,112.61
chclbhbc-1,Cluster 25,0,81.05
chcjbpip-1,Cluster 1,0,64.26
cdoblolm-1,Cluster 15,0,45.27
checacja-1,Cluster 1,0,41.96
cgmhbjmi-1,Cluster 3,0,89.54
cheegooc-1,Cluster 15,0,40.83
chfnpaij-1,Cluster 13,0,37.34
chcoljnd-1,Cluster 1,0,63.54
chflmbaf-1,Cluster 1,0,45.07
chkchlkp-1,Cluster 1,0,41.46
cdoamjkk-1,Cluster 1,0,56.14
chgabddh-1,Cluster 1,0,61.97
cgmmpoai-1,Cluster 1,0,61.52
cgmohbjh-1,Cluster 1,0,63.78
chcppapf-1,Cluster 1,0,79.67
chfiloii-1,Cluster 1,0,47.23
chdbbpch-1,Cluster 1,0,52.20
chflidfn-1,Cluster 1,0,70.10
chcpiago-1,Cluster 15,0,12.57
chflemha-1,Cluster 1,0,62.90
jmhbcaeh-1,Cluster 1,0,76.97
cgmhihdh-1,Cluster 1,0,33.97
cgmippdl-1,Cluster 1,0,62.21
cgmgjmib-1,Cluster 1,0,64.98
jmhbhbbg-1,Cluster 15,0,18.90
jmgpcala-1,Cluster 3,0,70.82
cgmkaagg-1,Cluster 12,0,36.87
cgmlplhj-1,Cluster 3,0,64.55
jmhahgne-1,Cluster 1,0,35.30
cgmlnemd-1,Cluster 1,0,45.02
cgkhhefg-1,Cluster 1,0,76.16
cglheogh-1,Cluster 1,0,42.63
jmhbenmd-1,Cluster 1,0,62.35
cgmglhda-1,Cluster 16,0,42.62
jmhamlfe-1,Cluster 18,0,156.48
cgkifion-1,Cluster 15,0,8.12
cgnbgelj-1,Cluster 1,0,34.39
oflmjkia-1,Cluster 13,0,108.57
jmhkgbmk-1,Cluster 1,0,45.05
cgjikkfm-1,Cluster 1,0,66.64
jmhkbcph-1,Cluster 1,0,131.29
cgjibini-1,Cluster 1,0,100.65
jmhinpmg-1,Cluster 15,0,20.30
npeejafi-1,Cluster 1,0,129.35
jmgjpeni-1,Cluster 6,0,46.23
cgjhjmdo-1,Cluster 8,0,18.52
jmgknhac-1,Cluster 1,0,61.76
jmglbigb-1,Cluster 1,0,49.65
jmgkniln-1,Cluster 1,0,47.98
jmgocecd-1,Cluster 1,0,44.34
cgjgggib-1,Cluster 6,0,24.36
chffhobm-1,Cluster 1,0,56.12
chjfifnb-1,Cluster 13,0,59.31
cgmalfpa-1,Cluster 1,0,36.11
chfhldpj-1,Cluster 15,0,37.28
chficcia-1,Cluster 13,0,30.97
chcidbjp-1,Cluster 1,0,23.83
chfnajgl-1,Cluster 6,0,44.12
chfgidhi-1,Cluster 1,0,62.53
chchoiao-1,Cluster 1,0,44.31
chfllbch-1,Cluster 12,0,107.32
chkgdhni-1,Cluster 1,0,53.61
chchldhi-1,Cluster 6,0,33.96
chgdjbhg-1,Cluster 1,0,34.93
chfmhlml-1,Cluster 13,0,28.56
cdoaabjg-1,Cluster 12,0,37.15
cdnonhoo-1,Cluster 12,0,31.23
chjgafbe-1,Cluster 1,0,54.65
chldfeaa-1,Cluster 1,0,31.67
chkhmiif-1,Cluster 1,0,72.06
chjkhpil-1,Cluster 1,0,81.64
chkmdefd-1,Cluster 13,0,85.32
cdnglefh-1,Cluster 1,0,52.86
chjjgple-1,Cluster 1,0,64.83
cgjfcake-1,Cluster 15,0,46.59
chlbonii-1,Cluster 1,0,59.93
chjgmnmb-1,Cluster 1,0,40.98
npfnfjek-1,Cluster 1,0,184.42
chkcaeah-1,Cluster 1,0,49.12
chkmkpbl-1,Cluster 18,0,186.38
chchjndk-1,Cluster 1,0,45.74
jphajinh-1,Cluster 1,0,78.57
jmigadpf-1,Cluster 1,0,39.71
cgjhbkam-1,Cluster 1,0,60.90
jmifnamd-1,Cluster 1,0,81.11
jmhpofnp-1,Cluster 3,0,53.33
cgjeinph-1,Cluster 1,0,37.97
cgljgnoh-1,Cluster 1,0,57.78
cgmefonb-1,Cluster 1,0,60.41
jmhgbpgg-1,Cluster 1,0,87.11
cgjjelfo-1,Cluster 15,0,29.43
jmheekee-1,Cluster 1,0,49.02
cglpeacm-1,Cluster 1,0,65.31
jmheobef-1,Cluster 1,0,46.68
cglpingl-1,Cluster 1,0,63.11
cgnajklp-1,Cluster 15,0,16.25
jmhpbgdo-1,Cluster 1,0,71.65
jmfjcmkp-1,Cluster 1,0,44.29
jphbnkfk-1,Cluster 1,0,58.66
cgjmjckc-1,Cluster 1,0,35.45
cgjkpkpk-1,Cluster 13,0,55.07
jmifoiac-1,Cluster 1,0,58.59
cgjodfnj-1,Cluster 1,0,78.54
cgjoefli-1,Cluster 1,0,61.42
cgjmkbnh-1,Cluster 15,0,17.89
jmibpble-1,Cluster 6,0,124.37
jmieiefd-1,Cluster 1,0,41.52
cgjdhncd-1,Cluster 1,0,44.50
jmibajkg-1,Cluster 1,0,75.48
cgjegfmh-1,Cluster 1,0,75.54
jnbcloki-1,Cluster 1,0,58.25
jnbbniig-1,Cluster 15,0,54.71
jnnhejaa-1,Cluster 1,0,51.00
jnbalomm-1,Cluster 6,0,44.41
jnamcipi-1,Cluster 8,0,11.92
jnmgneoj-1,Cluster 3,0,42.34
jnkacnci-1,Cluster 1,0,27.36
jnmpfddb-1,Cluster 8,0,35.41
jnnognbh-1,Cluster 1,0,56.70
jnkkkejm-1,Cluster 1,0,56.88
jnkdibof-1,Cluster 1,0,87.14
jnkaifpb-1,Cluster 1,0,58.46
jnmpimjb-1,Cluster 3,0,71.38
jnnmjjpo-1,Cluster 1,0,63.03
jnnlhaom-1,Cluster 1,0,25.49
jnnkioib-1,Cluster 1,0,48.13
jnmpmmod-1,Cluster 6,0,45.83
jnnhgjdc-1,Cluster 8,0,27.36
jnnbpoff-1,Cluster 15,0,44.27
jnkmngpc-1,Cluster 1,0,57.46
ofmlggjd-1,Cluster 16,0,24.30
jneejnhp-1,Cluster 1,0,53.26
jnkmedcj-1,Cluster 1,0,82.97
jnjohang-1,Cluster 1,0,46.87
jnlcgapn-1,Cluster 1,0,72.57
jnjpcgic-1,Cluster 1,0,46.93
jnlebbga-1,Cluster 1,0,42.94
jnlafekd-1,Cluster 12,0,25.79
ofmkpedj-1,Cluster 15,0,84.35
jmhbggio-1,Cluster 1,0,58.84
jnkgfdpb-1,Cluster 1,0,48.22
jnjpdioo-1,Cluster 12,0,62.16
jmhcklkk-1,Cluster 8,0,31.28
jnlaohpj-1,Cluster 1,0,37.19
jnkloeho-1,Cluster 1,0,68.08
jnkjemel-1,Cluster 1,0,55.68
jnkfedch-1,Cluster 25,0,115.02
jnkidnni-1,Cluster 1,0,40.37
jnkfemlg-1,Cluster 1,0,75.57
jnelahdk-1,Cluster 15,0,30.96
jmhlbmpb-1,Cluster 3,0,77.48
jnfapjbd-1,Cluster 1,0,62.26
jnehbjef-1,Cluster 3,0,51.28
jnehjlph-1,Cluster 1,0,41.78
jnegbkce-1,Cluster 1,0,65.39
jnengdhe-1,Cluster 1,0,51.23
jnfadpja-1,Cluster 12,0,54.60
jneoiaen-1,Cluster 3,0,61.33
jnemjnbi-1,Cluster 1,0,43.29
jnelhhgm-1,Cluster 1,0,74.53
jnelpdlo-1,Cluster 1,0,46.67
jnemlnbp-1,Cluster 1,0,82.00
jnenjpam-1,Cluster 16,0,39.03
joadjjgg-1,Cluster 12,0,16.88
joadfcig-1,Cluster 16,0,55.15
joacpcdf-1,Cluster 6,0,23.31
jnoognhm-1,Cluster 3,0,62.08
jnpcmfje-1,Cluster 1,0,54.76
ofnapcbp-1,Cluster 6,0,100.09
jnongjfh-1,Cluster 5,0,157.31
jnpgfmic-1,Cluster 1,0,79.24
jnpfeocd-1,Cluster 1,0,52.27
jnpgnclm-1,Cluster 3,0,90.80
jnpgnmjg-1,Cluster 1,0,61.92
jnpfiafo-1,Cluster 13,0,27.97
jnoklamd-1,Cluster 1,0,71.98
jnplhlel-1,Cluster 1,0,53.58
joaipclj-1,Cluster 12,0,65.74
joafiajn-1,Cluster 19,0,20.23
jnomhejj-1,Cluster 5,0,141.48
joabndca-1,Cluster 6,0,65.34
joahjlip-1,Cluster 12,0,14.05
jnolgpim-1,Cluster 3,0,50.08
jnolbbdl-1,Cluster 1,0,51.76
jnffojgl-1,Cluster 5,0,154.08
jnhahppk-1,Cluster 1,0,65.03
jngffkdp-1,Cluster 1,0,58.63
jnggbbhm-1,Cluster 16,0,33.35
jngkhmah-1,Cluster 25,0,160.37
jngoghbo-1,Cluster 5,0,152.58
jmhogobf-1,Cluster 1,0,111.90
jmhnigmp-1,Cluster 15,0,43.76
jnfmcigo-1,Cluster 1,0,66.77
jnfmogih-1,Cluster 1,0,64.75
jnfmkoah-1,Cluster 3,0,62.51
jnfedfpo-1,Cluster 16,0,28.75
jmhkhnmm-1,Cluster 1,0,47.22
jngmmpnj-1,Cluster 15,0,32.13
jnflckad-1,Cluster 1,0,74.49
jnfehpkn-1,Cluster 6,0,24.50
jnfkmoen-1,Cluster 1,0,51.05
jnhmnchg-1,Cluster 1,0,54.26
jmfjohhh-1,Cluster 6,0,66.84
jnigelgf-1,Cluster 1,0,70.07
jnifokke-1,Cluster 15,0,20.11
jnhbpood-1,Cluster 1,0,55.90
jmfjknka-1,Cluster 3,0,86.47
jmicfeec-1,Cluster 15,0,33.47
jngkolbo-1,Cluster 1,0,58.86
jmieclkg-1,Cluster 1,0,39.76
jmiecfba-1,Cluster 15,0,11.67
jnhdelnl-1,Cluster 5,0,194.03
jmiddjpl-1,Cluster 13,0,29.97
jngdncmc-1,Cluster 15,0,14.50
jngclefl-1,Cluster 6,0,80.30
jopjmame-1,Cluster 8,0,28.41
jnglcdkg-1,Cluster 19,0,39.11
jnhgolcp-1,Cluster 1,0,40.50
ofpeckaj-1,Cluster 3,0,128.48
jnfbablf-1,Cluster 25,0,96.65
jnfigoho-1,Cluster 1,0,78.63
jnfgdcmg-1,Cluster 5,0,175.72
jnfkfelm-1,Cluster 1,0,60.04
jnhkjngb-1,Cluster 1,0,91.75
jnhkaddn-1,Cluster 5,0,96.33
jnhigdpn-1,Cluster 1,0,64.90
jopimcbe-1,Cluster 1,0,39.58
jnhfcdne-1,Cluster 13,0,47.49
jpaaagof-1,Cluster 1,0,28.09
joplgobo-1,Cluster 15,0,17.27
chllnagl-1,Cluster 18,0,147.81
cdamaiic-1,Cluster 3,0,103.81
ccmmnmib-1,Cluster 1,0,53.20
cehnable-1,Cluster 7,0,215.35
ceiefcfb-1,Cluster 7,0,101.19
cehndmga-1,Cluster 3,0,36.92
ceieahlm-1,Cluster 1,0,49.06
npcipjgo-1,Cluster 8,0,25.63
ceideghp-1,Cluster 7,0,153.41
ccnekoag-1,Cluster 15,0,30.87
cehnpgcj-1,Cluster 6,0,16.62
ccngdmdm-1,Cluster 1,0,55.87
cenlikpm-1,Cluster 12,0,32.80
cehpoajp-1,Cluster 7,0,117.35
ccnhfekf-1,Cluster 1,0,98.81
ccnkkidb-1,Cluster 3,0,74.12
npcjleko-1,Cluster 3,0,107.18
ccnfpfjj-1,Cluster 1,0,50.39
cehoafkk-1,Cluster 16,0,79.67
npclgjed-1,Cluster 6,0,66.80
ceiihgog-1,Cluster 1,0,55.55
ceifanap-1,Cluster 13,0,51.80
ceihfkcl-1,Cluster 7,0,108.57
cejkdgfn-1,Cluster 26,0,105.09
ceillbkd-1,Cluster 6,0,14.70
ceikjbhl-1,Cluster 3,0,51.82
ceilldhp-1,Cluster 15,0,21.75
ccmpohfc-1,Cluster 16,0,30.41
ceijfmje-1,Cluster 7,0,117.96
ceidejai-1,Cluster 1,0,51.23
npckcjec-1,Cluster 3,0,58.94
ceiheglh-1,Cluster 6,0,68.86
cehmjdjp-1,Cluster 15,0,22.80
ccmoibgd-1,Cluster 6,0,40.71
ccogfkpn-1,Cluster 21,0,28.04
ccmlbdkm-1,Cluster 3,0,52.07
ccmogkda-1,Cluster 1,0,61.32
ccohdame-1,Cluster 6,0,66.68
ccogmgbm-1,Cluster 18,0,220.79
ccminpkm-1,Cluster 1,0,71.60
ccnpmiga-1,Cluster 18,0,99.65
ccocfbnp-1,Cluster 1,0,55.56
ccnlmbhn-1,Cluster 18,0,126.13
ccnnanhh-1,Cluster 18,0,99.91
ccobafpe-1,Cluster 18,0,125.92
ccnlmamh-1,Cluster 1,0,56.52
ccoacick-1,Cluster 18,0,148.28
cdnddoco-1,Cluster 18,0,127.80
ccnlkdli-1,Cluster 18,0,214.66
ccmijjfk-1,Cluster 16,0,33.05
cdajlgec-1,Cluster 6,0,31.53
ccndjefk-1,Cluster 12,0,28.24
ccndgkmi-1,Cluster 3,0,99.77
ccnpidim-1,Cluster 26,0,85.17
noppcjgf-1,Cluster 3,0,142.36
chlldcoc-1,Cluster 15,0,29.17
ccoefghp-1,Cluster 5,0,108.90
ccmmnifm-1,Cluster 7,0,188.12
chllnocn-1,Cluster 25,0,91.53
ccnpdagj-1,Cluster 1,0,89.22
ccmnaeck-1,Cluster 7,0,270.67
ccnogigo-1,Cluster 13,0,47.56
npabaenb-1,Cluster 6,0,12.17
ccmpmbma-1,Cluster 8,0,23.54
cejnppej-1,Cluster 1,0,72.69
cekaijpn-1,Cluster 1,0,65.21
cekadjkj-1,Cluster 13,0,88.49
cejpahai-1,Cluster 15,0,24.24
ceipfohh-1,Cluster 7,0,75.38
cejoeioa-1,Cluster 1,0,73.98
cejgehcb-1,Cluster 6,0,31.88
cejecjbe-1,Cluster 15,0,30.44
cejcojco-1,Cluster 1,0,66.66
cejlbefd-1,Cluster 1,0,62.38
cejmjpfo-1,Cluster 3,0,48.75
cejiedgj-1,Cluster 26,0,53.84
cejmmlhm-1,Cluster 7,0,136.13
cejmieie-1,Cluster 6,0,27.84
cejllane-1,Cluster 7,0,103.11
cejlafeo-1,Cluster 1,0,65.04
ccpohnam-1,Cluster 1,0,74.67
cdacigbf-1,Cluster 1,0,68.82
cdacdljp-1,Cluster 1,0,109.14
eegbfigf-1,Cluster 7,0,86.15
eefnbhfb-1,Cluster 15,0,31.79
obglalfm-1,Cluster 16,0,209.13
cekbeahe-1,Cluster 16,0,47.15
ceinebdo-1,Cluster 7,0,87.19
eeflbhko-1,Cluster 15,0,23.15
obgkpgff-1,Cluster 3,0,47.41
cekkbobn-1,Cluster 6,0,22.11
npclnfgm-1,Cluster 6,0,44.42
cekcojnp-1,Cluster 7,0,123.43
cejaninf-1,Cluster 5,0,57.68
ccpkmlbn-1,Cluster 16,0,52.02
ccmkiepo-1,Cluster 6,0,88.87
ccpjgpbh-1,Cluster 16,0,65.77
ccppgjbb-1,Cluster 7,0,132.78
cdaijdbd-1,Cluster 1,0,42.45
cdageffo-1,Cluster 6,0,46.37
cdamjija-1,Cluster 1,0,69.10
chhbniah-1,Cluster 6,0,47.63
ccndnlnh-1,Cluster 7,0,132.40
cdahkpdi-1,Cluster 26,0,102.44
cdahlgac-1,Cluster 1,0,82.69
ccnapogg-1,Cluster 7,0,80.59
ccnbdmfj-1,Cluster 7,0,137.10
ccnnjgio-1,Cluster 7,0,190.83
ccnamfid-1,Cluster 7,0,199.70
ccndafdo-1,Cluster 26,0,53.21
cdabjgea-1,Cluster 3,0,34.70
chinkonj-1,Cluster 3,0,38.33
ccpcbnee-1,Cluster 7,0,48.34
ccpoeahe-1,Cluster 6,0,42.30
ccpfknmo-1,Cluster 7,0,79.42
ccpmiioj-1,Cluster 1,0,43.57
cdamnokc-1,Cluster 1,0,56.96
ccpofiem-1,Cluster 7,0,160.59
cdapgdpe-1,Cluster 1,0,54.16
cdapdngj-1,Cluster 1,0,62.35
ccpjcbnp-1,Cluster 1,0,57.31
cdbdpmkl-1,Cluster 13,0,37.99
ccpkcpci-1,Cluster 15,0,22.11
ccpmdleg-1,Cluster 6,0,49.47
ciacloen-1,Cluster 6,0,34.50
chjokmak-1,Cluster 1,0,48.43
chjedkjn-1,Cluster 18,0,155.92
chlmcaja-1,Cluster 6,0,35.33
chlhjaig-1,Cluster 1,0,48.83
npfnmpfl-1,Cluster 16,0,27.01
chkhnpla-1,Cluster 1,0,84.07
chkimagd-1,Cluster 1,0,70.24
chjimpkc-1,Cluster 1,0,88.48
chkkiaob-1,Cluster 12,0,44.51
chjpkmam-1,Cluster 1,0,38.45
chlefman-1,Cluster 6,0,48.95
chjfcpbf-1,Cluster 5,0,98.57
chknbffp-1,Cluster 1,0,56.68
chlhboki-1,Cluster 18,0,205.89
chjhogko-1,Cluster 1,0,52.18
chlajjpb-1,Cluster 25,0,103.61
chlaclma-1,Cluster 1,0,36.25
npfpdfbc-1,Cluster 12,0,22.59
chjaimcn-1,Cluster 1,0,104.81
chjahpih-1,Cluster 15,0,11.06
chkjjlek-1,Cluster 18,0,105.82
chmmdbaf-1,Cluster 1,0,57.18
chkjopjc-1,Cluster 18,0,80.78
abdmkkbb-1,Cluster 5,0,33.45
chmmpaee-1,Cluster 1,0,64.96
chkjokce-1,Cluster 6,0,62.16
chmmiebh-1,Cluster 1,0,77.10
npfpmbkg-1,Cluster 6,0,45.52
npfpffgh-1,Cluster 6,0,92.43
chjeddip-1,Cluster 18,0,108.34
chjeflpk-1,Cluster 1,0,59.04
chnoipcd-1,Cluster 8,0,27.14
chmdajlg-1,Cluster 1,0,96.34
choaedik-1,Cluster 1,0,62.29
choaijfg-1,Cluster 6,0,40.71
chnipbon-1,Cluster 8,0,37.03
chmcnnng-1,Cluster 1,0,81.97
chkencbg-1,Cluster 3,0,53.19
cgjalofd-1,Cluster 15,0,26.85
chnoaekn-1,Cluster 1,0,72.76
cgiobolf-1,Cluster 15,0,26.57
chnngoep-1,Cluster 15,0,16.19
cgillmol-1,Cluster 1,0,55.83
cgjbnfjg-1,Cluster 1,0,46.51
cgipeeei-1,Cluster 16,0,31.75
jmgioifa-1,Cluster 1,0,123.47
chkglpdm-1,Cluster 1,0,58.70
chmjklle-1,Cluster 5,0,100.96
chnphkdl-1,Cluster 21,0,64.29
chmdmcgg-1,Cluster 18,0,113.40
chodkidn-1,Cluster 14,0,84.49
chmhfhif-1,Cluster 18,0,26.90
chodpibp-1,Cluster 1,0,60.50
chndkgdc-1,Cluster 18,0,164.29
chocjjkc-1,Cluster 1,0,34.38
chmopnca-1,Cluster 18,0,227.86
chmcjfkm-1,Cluster 18,0,32.75
chobicoe-1,Cluster 16,0,46.15
chmdghaf-1,Cluster 13,0,59.96
chodmnig-1,Cluster 8,0,25.09
chnebnla-1,Cluster 1,0,90.09
ciaeaopo-1,Cluster 18,0,71.27
chhdpfpj-1,Cluster 1,0,23.06
chijjdpe-1,Cluster 1,0,23.70
chihppmo-1,Cluster 15,0,24.02
chmcfogl-1,Cluster 6,0,48.02
chlmmjac-1,Cluster 5,0,102.25
chicgeao-1,Cluster 1,0,47.83
chlpakop-1,Cluster 18,0,80.70
chmadppb-1,Cluster 15,0,22.73
npflmgcd-1,Cluster 8,0,21.49
chjbbckb-1,Cluster 26,0,142.52
chiolbbe-1,Cluster 1,0,50.66
chjcliek-1,Cluster 7,0,127.11
chickgij-1,Cluster 1,0,82.00
chhcebhg-1,Cluster 16,0,49.12
chndadce-1,Cluster 18,0,248.68
chiobjik-1,Cluster 7,0,137.27
chigdjcl-1,Cluster 7,0,127.30
npfkepfb-1,Cluster 8,0,27.32
chiccemi-1,Cluster 15,0,7.48
npfhchmf-1,Cluster 8,0,67.32
chilogfh-1,Cluster 1,0,37.38
chhgklkd-1,Cluster 1,0,103.14
chhmnfhe-1,Cluster 12,0,25.93
chhgllac-1,Cluster 3,0,46.22
chickpal-1,Cluster 1,0,60.00
chmnbjdn-1,Cluster 1,0,69.96
chhncefo-1,Cluster 7,0,149.47
chjapham-1,Cluster 7,0,129.80
npfnbjpb-1,Cluster 6,0,163.46
chhbledh-1,Cluster 1,0,78.84
chohfjel-1,Cluster 18,0,74.65
ciadjblh-1,Cluster 12,0,59.21
chpjcepf-1,Cluster 18,0,89.37
chpjmkob-1,Cluster 1,0,87.52
chpjfgnm-1,Cluster 3,0,28.42
ciafnikf-1,Cluster 3,0,70.59
ciademjf-1,Cluster 18,0,158.53
ciachndg-1,Cluster 1,0,64.23
ciabgine-1,Cluster 16,0,45.88
chpldfec-1,Cluster 6,0,58.04
chponmai-1,Cluster 18,0,90.58
ciafdakd-1,Cluster 1,0,51.48
chpmbcpe-1,Cluster 18,0,35.00
ciadaklp-1,Cluster 18,0,124.09
ciaflmmf-1,Cluster 1,0,59.36
chpinkkl-1,Cluster 25,0,44.40
chpajkng-1,Cluster 1,0,54.12
chofmejm-1,Cluster 7,0,192.23
chpikbmd-1,Cluster 18,0,198.07
chofhhpf-1,Cluster 18,0,193.33
chphficg-1,Cluster 6,0,28.48
chphechb-1,Cluster 15,0,31.29
chpffahk-1,Cluster 25,0,60.26
jpieocbp-1,Cluster 1,0,56.85
chojfino-1,Cluster 18,0,89.41
chogidbl-1,Cluster 15,0,29.16
chonihjh-1,Cluster 12,0,59.64
chphbkde-1,Cluster 1,0,43.87
npfklbib-1,Cluster 8,0,65.75
cdbmgiio-1,Cluster 7,0,58.74
ceknjlcj-1,Cluster 6,0,49.10
eeghnbke-1,Cluster 7,0,94.49
eeffcamo-1,Cluster 1,0,60.13
eefemnic-1,Cluster 26,0,120.49
cekkkpje-1,Cluster 15,0,10.37
obgoimdc-1,Cluster 3,0,137.58
cekhicnn-1,Cluster 1,0,71.93
cekohjjd-1,Cluster 1,0,67.18
cekkghhn-1,Cluster 7,0,120.86
cekoigid-1,Cluster 12,0,37.98
obgiogge-1,Cluster 15,0,70.94
ccolnhgi-1,Cluster 7,0,144.18
ccommddm-1,Cluster 1,0,67.83
npabbjjj-1,Cluster 12,0,13.10
ccolmgoo-1,Cluster 6,0,53.74
cdbkcdcn-1,Cluster 1,0,61.57
ccomdfeg-1,Cluster 7,0,240.48
npaflamp-1,Cluster 6,0,139.46
npabmjhm-1,Cluster 3,0,191.02
ccpedlbf-1,Cluster 6,0,38.27
cdadcnef-1,Cluster 1,0,69.62
ccolmecm-1,Cluster 7,0,126.53
ccpcaibj-1,Cluster 1,0,72.28
npfgjlco-1,Cluster 3,0,220.75
ccokbnci-1,Cluster 6,0,15.05
chhkoled-1,Cluster 7,0,120.85
chhgipam-1,Cluster 3,0,44.78
chhfpifn-1,Cluster 3,0,46.18
npffappg-1,Cluster 6,0,201.03
npacfmhg-1,Cluster 26,0,155.91
chhnelji-1,Cluster 1,0,59.00
chhgnceo-1,Cluster 7,0,204.72
dkbghbme-1,Cluster 15,0,30.84
dkcocigg-1,Cluster 1,0,67.28
npgagcad-1,Cluster 6,0,78.48
npgbjemj-1,Cluster 6,0,40.78
choggmjo-1,Cluster 1,0,48.08
dkcpgico-1,Cluster 1,0,49.47
chpdehle-1,Cluster 15,0,34.84
chpflbmi-1,Cluster 1,0,54.62
choehjaj-1,Cluster 1,0,58.41
jphekkcn-1,Cluster 1,0,45.10
jndpcpjm-1,Cluster 1,0,37.53
jniejmkj-1,Cluster 1,0,54.67
jmgjnjmb-1,Cluster 1,0,71.68
jmgbilic-1,Cluster 15,0,11.01
jmfpoobg-1,Cluster 1,0,65.28
jmgabbad-1,Cluster 16,0,45.23
jmfkniji-1,Cluster 13,0,54.04
jmgbniaj-1,Cluster 1,0,45.93
jnfponil-1,Cluster 1,0,54.04
jmfkigbk-1,Cluster 12,0,56.39
jmfnaamg-1,Cluster 6,0,75.48
jndlchog-1,Cluster 1,0,67.89
jndibpcf-1,Cluster 3,0,59.18
jndmnhgo-1,Cluster 1,0,65.93
jmgcdckn-1,Cluster 1,0,79.48
jmfmjlfa-1,Cluster 15,0,49.48
jpdfnlcn-1,Cluster 3,0,33.71
chnimmgm-1,Cluster 3,0,94.17
jpgopnpl-1,Cluster 15,0,43.71
jngbliaj-1,Cluster 1,0,48.19
jndfjpda-1,Cluster 1,0,39.16
jmfgpcea-1,Cluster 1,0,66.73
jphcdfcc-1,Cluster 15,0,16.89
jmfhhkcc-1,Cluster 1,0,32.48
jngaheel-1,Cluster 1,0,89.71
jmfhbegi-1,Cluster 1,0,42.38
jndmgojn-1,Cluster 1,0,54.93
jndngbgg-1,Cluster 1,0,54.52
jneabjhc-1,Cluster 5,0,136.11
joplojdb-1,Cluster 1,0,34.57
jpgodhlk-1,Cluster 6,0,14.80
jpgodhlj-1,Cluster 18,0,175.38
jpglponb-1,Cluster 1,0,35.10
jpgodiai-1,Cluster 6,0,8.49
dofabebd-1,Cluster 19,0,77.13
jphjaneh-1,Cluster 1,0,79.32
jpdgejgf-1,Cluster 5,0,44.61
jpibfmfl-1,Cluster 16,0,42.00
